"business_name","telephone","street","locality","region","zipcode","website","business_page","search_category","updated_at"
"Bartman Plumbing Ltd","647-846-8278","16-56 Pennsylvania Ave","Concord","ON","L4K 3V9","https://www.yellowpages.ca/gourl/3e0854157bdfc605fd23fdd955748e12e412b1ea?redirect=https%3A%2F%2Fwww.bartmanplumbing.com%2F","https://www.yellowpages.ca/bus/Ontario/Concord/Bartman-Plumbing-Ltd/102421730.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.551404"
"JMS Plumbing & Drains","647-846-8116","","","","","","https://www.yellowpages.ca/bus/Ontario/JMS-Plumbing-Drains/102753075.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.551623"
"New Water Plumbing","647-559-9278
1-844-219-9974","34 Doncaster Ave","Thornhill","ON","L3T 4S1","https://www.yellowpages.ca/gourl/7a17f00c526fa9c6fcf1eda7e705ef42df89b747?redirect=http%3A%2F%2Fwww.newwaterplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/Thornhill/New-Water-Plumbing/1126404.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.551922"
"Century Plumbing & Heating","437-370-0337","766 Gordon Baker Rd","North York","ON","M2H 3B4","https://www.yellowpages.ca/gourl/1bb028fe237a5e27fa604a07ddb2fb4f2eda4137?redirect=http%3A%2F%2Fwww.centuryplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/North-York/Century-Plumbing-Heating/2172952.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.552214"
"M I Plumbing Services","416-854-3356","2233 Hurontario St","Mississauga","ON","L5A 2E9","","https://www.yellowpages.ca/bus/Ontario/Mississauga/M-I-Plumbing-Services/102662695.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.552465"
"Mr Rooter Plumbing","416-699-8623","","","","","","https://www.yellowpages.ca/bus/Ontario/Mr-Rooter-Plumbing/102374378.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.552678"
"The Drain Man","437-370-0382","440 Brimley Rd","Scarborough","ON","M1J 1A1","https://www.yellowpages.ca/gourl/8d9cabfdaeaf332d16ab27a84ae9834b91f701dd?redirect=http%3A%2F%2Fwww.drainmaninc.com%2F","https://www.yellowpages.ca/bus/Ontario/Scarborough/The-Drain-Man/7448019.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.552965"
"A & Y Plumbing","416-835-7986","10 Parkway Forest Dr","North York","ON","M2J 1L3","https://www.yellowpages.ca/gourl/fb6e9893eb77eed7dee4e51b10b63cab1dfb0a05?redirect=http%3A%2F%2Fwww.ayplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/North-York/A-Y-Plumbing/8867.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.553230"
"Peachwood Plumbing & Mechanical","416-628-3479","","","","","javascript:void(0);","https://www.yellowpages.ca/bus/Ontario/Peachwood-Plumbing-Mechanical/102774499.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.553872"
"Canadian Master Plumbing (CMP) Inc","416-836-4436","4854 Bathurst St","North York","ON","M2R 1X3","https://www.yellowpages.ca/gourl/027d0804701de85c679aa910ec80f59aa19a587e?redirect=https%3A%2F%2Ftrustedpros.ca%2Fcompany%2Fcanadian-master-plumbing-cmp-inc","https://www.yellowpages.ca/bus/Ontario/North-York/Canadian-Master-Plumbing-CMP-Inc/101830255.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.554216"
